INSTNM,CITY,STABBR,ZIP,INSTURL,NPCURL,LATITUDE,LONGITUDE,ADM_RATE_ALL,ACTCMMID,SAT_AVG_ALL,UGDS,UG,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,UGDS_WHITENH,UGDS_BLACKNH,UGDS_API,UGDS_AIANOLD,UGDS_HISPOLD,UG_NRA,UG_UNKN,UG_WHITENH,UG_BLACKNH,UG_API,UG_AIANOLD,UG_HISPOLD,COSTT4_A,COSTT4_P,COST,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,DEBT_MDN,C100_4,UGDS_MEN,UGDS_WOMEN,C100_41
Bluefield College,Bluefield,VA,24605,www.bluefield.edu,www.bluefield.edu/cost/,37.245681,-81.244879,0.979938272,19,907,897,820,0.6611,0.1784,0.0401,0.0513,0,0,0.0334,0.0212,0.0145,0.6789,0.1965,0.0081,0.0027,0.0176,0.011,0,0.8512,0.1098,0.0061,0.0195,0.0024,34823,0,34823,22840,22840,NULL,12500,0.3625,0.4314,0.5686,36.25
Concordia University-Nebraska,Seward,NE,68434-1556,www.cune.edu,www.cune.edu/netpricecalculator,40.914853,-97.089054,0.766106443,24,1067,1232,1180,0.8653,0.0422,0.0381,0.013,0.0032,0.0016,0.0057,0.0114,0.0195,0.8875,0.0372,0.008,0.0018,0.0168,0.0008,0.0119,0.9593,0.0153,0.0059,0.0008,0.0059,34816,0,34816,25950,25950,NULL,18750,0.4579,0.4878,0.5122,45.79
Mount Vernon Nazarene University,Mount Vernon,OH,43050-9500,www.mvnu.edu,www.gotomvnu.com/preparing/,40.373859,-82.474667,0.759803922,23,1046,1706,1889,0.8294,0.0428,0.0193,0.0047,0.0012,0.0018,0.0064,0.0135,0.0809,0,0,0,0,0,0.0053,0.0699,0.8978,0.0122,0.0058,0.0032,0.0058,34801,0,34801,24650,24650,NULL,19582,0.4986,0.3623,0.6377,49.86
Northwood University-Michigan,Midland,MI,48640-2398,www.northwood.edu,www.northwood.edu/webapps/finaid/coa/,43.628996,-84.276276,0.5773906,22,981,2808,3657,0.6635,0.0894,0.0452,0.01,0.0028,0.0046,0.0139,0.0292,0.1414,0.6654,0.1393,0.0131,0.0062,0.03,0.064,0.4072,0.4435,0.0681,0.0038,0.0014,0.012,34733,0,34733,23132,23132,NULL,17784.5,0.4005,0.5648,0.4352,40.05
Silver Lake College of the Holy Family,Manitowoc,WI,54220-9319,www.sl.edu/,https://sl.studentaidcalculator.com/survey.aspx,44.071038,-87.742961,0.474025974,17,820,296,709,0.625,0.152,0.027,0.0135,0.0101,0,0.0304,0.0203,0.1216,0.6755,0.0383,0.0118,0.0442,0.0147,0.0042,0,0.9506,0.0042,0.0099,0.0169,0.0141,34641,0,34641,24350,24350,NULL,19000,0.2727,0.3176,0.6824,27.27
Davis & Elkins College,Elkins,WV,26241-3996,www.dewv.edu,www.dewv.edu/calculator/npcalc.htm,38.928693,-79.846391,0.582229581,21,986,839,668,0.6341,0.0453,0.0012,0.0024,0.0048,0,0,0.1466,0.1657,0.7389,0.0415,0.0031,0.0092,0.0092,0.003,0.0299,0.8877,0.0299,0.0314,0.006,0.012,34587,0,34587,27492,27492,NULL,14550,0.3365,0.4696,0.5304,33.65
Culver-Stockton College,Canton,MO,63435-1299,www.culver.edu,https://secure.culver.edu/calculate/npcalc.htm,40.130064,-91.526682,0.577150084,21,986,931,821,0.739,0.1278,0.0473,0.0043,0.0032,0.0075,0.0172,0.0537,0,0.8301,0.0939,0.0097,0.0083,0.0235,0.0146,0,0.9245,0.0353,0.0037,0.0037,0.0183,34565,0,34565,24050,24050,NULL,15000,0.3436,0.5285,0.4715,34.36
Hebrew Theological College,Skokie,IL,60077,www.htc.edu/,www.htc.edu/component/k2/item/211-tution-net-price-calculator.html,42.011055,-87.761119,0.928374656,22,1030,404,220,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0045,0,0.9955,0,0,0,0,34558,0,34558,19190,19190,NULL,5500,0.0507,0.1535,0.8465,5.07
Charleston Southern University,Charleston,SC,29406-9121,www.csuniv.edu,www.csuniv.edu/admissions/tuition/netpricecalculator.html,32.981986,-80.069288,0.586568231,22,997,2949,2315,0.6033,0.277,0.0329,0.0125,0.0051,0.0014,0.0214,0.0081,0.0383,0.5789,0.2901,0.0112,0.004,0.026,0.0324,0.2164,0.5438,0.1857,0.0069,0.0017,0.013,34528,0,34528,22840,22840,NULL,15000,0.2076,0.374,0.626,20.76
Greenville College,Greenville,IL,62246,www.greenville.edu,costcalculator.greenville.edu/,38.894751,-89.409178,0.55680156,23,1056,1055,1134,0.7592,0.0929,0.0493,0.0095,0,0.0009,0.0246,0.0218,0.0417,0.7846,0.0787,0.0059,0.0074,0.025,0.0141,0.0265,0.8545,0.0679,0.0123,0.0079,0.0168,34512,0,34512,24360,24360,NULL,15000,0.3967,0.5071,0.4929,39.67
Northwest Christian University,Eugene,OR,97401-3745,www.nwcu.edu/,nwcu.aidcalculator.com/?iframe=true&width=720&height=500,44.047483,-123.079754,0.719101124,21,987,492,441,0.7927,0.0224,0.0894,0.0183,0.0325,0.0041,0.0285,0,0.0122,0.7652,0.0226,0.0271,0.0181,0.0451,0,0.0862,0.8186,0.034,0.0227,0.0227,0.0159,34496,0,34496,26180,26180,NULL,16750,0.55,0.3841,0.6159,55
Westminster College,Fulton,MO,65251-1299,WWW.WESTMINSTER-MO.EDU,www.westminster-mo.edu/go/calc/,38.847764,-91.954345,0.66344294,25,1114,943,686,0.6532,0.0795,0.0392,0.0106,0.0223,0.0021,0.0106,0.1591,0.0233,0,0,0,0,0,0.0569,0.0029,0.8819,0.0204,0.0146,0.0044,0.019,34470,0,34470,22560,22560,NULL,20000,0.5041,0.5748,0.4252,50.41
Art Academy of Cincinnati,Cincinnati,OH,45202-1706,www.artacademy.edu,https://artacademy.studentaidcalculator.com/survey.aspx,39.108382,-84.497573,0.243407708,21,961,201,238,0.7761,0.0995,0.0597,0.0249,0.005,0.005,0.0249,0.005,0,0,0,0,0,0,0.021,0.0798,0.8571,0.0126,0.0126,0.0042,0.0126,34457,0,34457,26376,26376,NULL,20000,0.5745,0.3881,0.6119,57.45
Indiana Wesleyan University-Marion,Marion,IN,46953-4974,www.indwes.edu,https://secure2.indwes.edu/Financial-Aid/Estimator/CAS/,40.518495,-85.661991,0.950480629,24,1081,10218,5220,0.7531,0.1825,0.0307,0.0065,0.0024,0.0008,0.0206,0.0023,0.0012,0.7931,0.1503,0.0096,0.0044,0.0199,0.01,0.0115,0.8531,0.1042,0.0059,0.0054,0.01,34433,0,34433,24102,24102,NULL,18918,0.5193,0.3256,0.6744,51.93
Lakeland College,Plymouth,WI,53073,www.lakeland.edu,lakeland.edu/Financial-Aid/financial-aid-calculator,43.841863,-87.884956,0.547024952,20,949,2232,3390,0.655,0.0457,0.0367,0.0215,0.0099,0.0009,0.009,0.0237,0.1976,0.6914,0.0534,0.0194,0.0104,0.0222,0.0339,0.1053,0.7673,0.0504,0.023,0.0086,0.0115,34385,0,34385,24090,24090,NULL,17774.5,0.4211,0.4328,0.5672,42.11
Bethel College-Indiana,Mishawaka,IN,46545-5591,www.bethelcollege.edu,www.bethelcollege.edu/students/undergrad/financing-education//net-price-calculator.html,41.677671,-86.191642,0.705349794,23,1040,1520,1534,0.7704,0.1059,0.0632,0.0072,0.0033,0.0053,0.0283,0.0132,0.0033,0.8,0.1297,0.0115,0.0063,0.0289,0.0267,0,0.8644,0.0847,0.0124,0.0033,0.0085,34378,0,34378,25830,25830,NULL,17631,0.5617,0.35,0.65,56.17
William Woods University,Fulton,MO,65251-1098,www.williamwoods.edu,www.williamwoods.edu/admissions/undergraduate/calculator.html,38.857864,-91.949273,0.763020833,23,1042,990,1011,0.8273,0.0424,0.0141,0.0051,0.0081,0.001,0.0232,0.003,0.0758,0,0,0.0056,0.0047,0,0.0643,0.0227,0.8427,0.0376,0.0069,0.0109,0.0148,34371,0,34371,21260,21260,NULL,17409,0.4348,0.2535,0.7465,43.48
Rocky Mountain College,Billings,MT,59102-1796,rocky.edu,rocky.edu/admissions/financial-aid-scholarships/FinancialAidEstimator.php,45.796765,-108.553899,0.636118598,23,1031,903,784,0.7708,0.0354,0.0199,0.0089,0.021,0.0055,0.0709,0.0498,0.0177,0,0,0,0,0,0.0255,0,0.8648,0.0102,0.0077,0.0778,0.014,34355,0,34355,24530,24530,NULL,17000,0.269,0.5216,0.4784,26.9
Post University,Waterbury,CT,6723,www.post.edu/,https://www.post.edu/maincampus/npc.shtml,41.535334,-73.080525,0.870709382,14,855,6594,1356,0.3582,0.2008,0.0657,0.0103,0.0047,0.003,0.0285,0.0032,0.3256,0.3202,0.1758,0.0098,0.0034,0.0727,0.0339,0.1254,0.6077,0.1298,0.0428,0.0037,0.0568,34350,0,34350,16510,16510,NULL,8450,0.1705,0.4061,0.5939,17.05
Viterbo University,La Crosse,WI,54601-8804,www.viterbo.edu,https://www.viterbo.edu/costtoattend/,43.802291,-91.244095,0.691418138,24,1089,2019,1686,0.9004,0.0158,0.0243,0.0183,0.004,0.0005,0.0188,0.0149,0.003,0.9203,0.0199,0.0213,0.0076,0.0161,0.0071,0.0558,0.9004,0.0083,0.013,0.0036,0.0119,34310,0,34310,23790,23790,NULL,21960,0.2881,0.265,0.735,28.81
Mount Marty College,Yankton,SD,57078-3724,www.mtmc.edu,www.mtmc.edu/financial/netpricecalculator.aspx,42.874475,-97.409904,0.723557692,21,990,634,1044,0.8139,0.0426,0.0931,0.0095,0.0331,0.0063,0,0,0.0016,0,0,0,0,0,0.0029,0,0.9617,0.0134,0.0057,0.0096,0.0067,34249,0,34249,22892,22892,NULL,19447.5,0.4889,0.4054,0.5946,48.89
Watkins College of Art Design & Film,Nashville,TN,37228,www.watkins.edu,www.watkins.edu/admissions/financial-aid/,36.194659,-86.805888,0.263586957,22,1000,288,298,0.6979,0.1389,0.0486,0.0174,0.0069,0.0035,0.0625,0.0139,0.0104,0,0,0,0,0,0.0067,0.0134,0.8926,0.0537,0.0067,0,0.0268,34118,0,34118,20250,20250,NULL,19000,0.1212,0.4618,0.5382,12.12
Schreiner University,Kerrville,TX,78028-5697,www.schreiner.edu,www.schreiner.edu/financialaid/current_students/cost_of_attending_worksheet/netprice_calculator.aspx,30.03108,-99.131076,0.935278031,22,997,1001,751,0.5974,0.033,0.3247,0.005,0.001,0,0.031,0.008,0,0,0,0,0,0,0.0093,0,0.8003,0.028,0.0093,0.004,0.1491,34065,0,34065,24360,24360,NULL,14250,0.3158,0.4176,0.5824,31.58
Dallas Baptist University,Dallas,TX,75211-9299,www.dbu.edu,www.collegeforalltexans.com/apps/CollegeMoney/,32.710017,-96.947006,0.462145676,23,1075,3357,3190,0.6101,0.1546,0.1418,0.0197,0.0074,0.0018,0,0.0646,0,0.619,0.186,0.0187,0.0076,0.0923,0.0517,0.0774,0.5483,0.2056,0.0166,0.0317,0.0687,34013,0,34013,23650,23650,NULL,16191,0.3793,0.4197,0.5803,37.93
Arizona Christian University,Phoenix,AZ,85032-7097,www.arizonachristian.edu,arizonachristian.edu/admissions/financial-aid/calculator,33.595117,-112.026211,0.567272727,22,988,620,60,0.6016,0.0855,0.1661,0.0113,0.0113,0.0081,0.0548,0.021,0.0403,0,0,0,0,0,0,0.05,0.8667,0,0,0,0.0833,33945,0,33945,22466,22466,NULL,11000,0.4627,0.5758,0.4242,46.27
Franciscan University of Steubenville,Steubenville,OH,43952-1763,www.franciscan.edu,www.franciscan.edu/sfs/new/,40.376086,-80.623094,0.779249448,26,1183,2065,1701,0.8276,0.0034,0.0973,0.0179,0.0015,0.0005,0.0208,0.0097,0.0213,0.6077,0.0034,0.0143,0.0029,0.0329,0.0317,0.0682,0.8307,0.0106,0.0153,0.0012,0.0423,33851,0,33851,23930,23930,NULL,19500,0.6736,0.3826,0.6174,67.36
University of California-Santa Barbara,Santa Barbara,CA,93106,www.ucsb.edu,www.finaid.ucsb.edu/Prospective/AidEstimator.aspx,34.416281,-119.846404,0.363447233,29,1253,20237,17538,0.3654,0.0214,0.2534,0.1903,0.0011,0.001,0.0842,0.0563,0.0269,0.4944,0.0324,0.1742,0.0088,0.217,0.0115,0.0988,0.5754,0.0257,0.1419,0.009,0.1378,33826,0,33826,13865,36743,NULL,14500,0.6919,0.4746,0.5254,69.19
Hampton University,Hampton,VA,23668-0099,www.hamptonu.edu,www.hamptonu.edu/studentservices/financialaid,37.0199,-76.331108,0.290607508,21,999,3456,4891,0.0246,0.947,0.0107,0.0061,0.0014,0,0.0003,0.0098,0,0.0211,0.9516,0.0054,0.0029,0.0099,0.0096,0,0.0309,0.9442,0.0043,0.0027,0.0084,33798,0,33798,21760,21760,NULL,21500,0.4109,0.3461,0.6539,41.09
Spring Arbor University,Spring Arbor,MI,49283-9799,www.arbor.edu,springnetprice.com/,42.206233,-84.551918,0.666413085,22,1035,2632,2125,0.7568,0.1094,0.0285,0.0084,0.0061,0.0019,0.0217,0.008,0.0593,0.8428,0.1092,0.0076,0.0065,0.0216,0.0179,0.0127,0.8367,0.1106,0.0066,0.0042,0.0113,33787,0,33787,24350,24350,NULL,20000,0.3342,0.3119,0.6881,33.42
Cumberland University,Lebanon,TN,37087,www.cumberland.edu,www2.cumberland.edu/communications/NetPriceCalculator/npcalc.htm,36.204243,-86.29966,0.464235624,23,1044,1167,935,0.6504,0.1243,0.0317,0.0086,0.0026,0,0,0.0343,0.1482,0.7727,0.1051,0.0111,0.004,0.0202,0.0043,0.093,0.7765,0.1027,0.0032,0.0021,0.0182,33764,0,33764,20200,20200,NULL,17643.5,0.2216,0.413,0.587,22.16
Cairn University-Langhorne,Langhorne,PA,19047-2990,www.cairn.edu,cairn.edu/admissions/undergrad/aid/#calculator,40.165809,-74.909509,0.977987421,22,993,805,941,0.7342,0.118,0.0696,0.0348,0.0025,0.0012,0.0199,0.0174,0.0025,0.754,0.1349,0.0397,0.002,0.0377,0.034,0.0021,0.8236,0.1105,0.0223,0,0.0074,33730,0,33730,23245,23245,NULL,21500,0.1379,0.4584,0.5416,13.79
University of Saint Mary,Leavenworth,KS,66048-5082,www.stmary.edu,www.stmary.edu/Admissions/Net-Price-Calculator.aspx,39.277308,-94.906935,0.474966171,22,1002,819,510,0.6178,0.0989,0.1136,0.0122,0.0049,0.0098,0.033,0.011,0.0989,0.7149,0.1155,0.0102,0.0132,0.0775,0.0098,0.0412,0.7843,0.098,0.0157,0.0098,0.0412,33706,0,33706,24450,24450,NULL,19000,0.2655,0.3468,0.6532,26.55
Tusculum College,Greeneville,TN,37743,www.tusculum.edu,www.tusculum.edu/npc/index.html,36.172558,-82.761716,0.719353567,22,990,1746,1377,0.7056,0.1208,0.0223,0.004,0.0069,0.0011,0.0063,0.0241,0.1088,0,0,0,0,0,0.0232,0,0.8693,0.098,0.0022,0.0044,0.0029,33700,0,33700,22670,22670,NULL,20200,0.2127,0.4593,0.5407,21.27
Lyon College,Batesville,AR,72501,www.lyon.edu,https://my.lyon.edu/ics/default.aspx,35.778934,-91.628115,0.614241803,25,1109,690,471,0.742,0.0681,0.0623,0.0159,0.0145,0,0,0.0333,0.0638,0.8424,0.0407,0.0136,0.0102,0.0254,0.0573,0.0064,0.8705,0.0297,0.0149,0.0127,0.0085,33605,0,33605,24300,24300,NULL,12000,0.4902,0.529,0.471,49.02
Carson-Newman University,Jefferson City,TN,37760,www.cn.edu,www.cn.edu/administration/financial-assistance/undergraduate-students/net-price-calculator-for-aid-estimates,36.122224,-83.492183,0.62397541,24,1083,1701,1994,0.843,0.0794,0.0182,0.0059,0.0018,0,0,0.02,0.0317,0,0,0,0,0,0.0251,0.0095,0.8942,0.0597,0.006,0.0015,0.004,33563,0,33563,24460,24460,NULL,14750,0.3626,0.4356,0.5644,36.26
Siena Heights University,Adrian,MI,49221,www.sienaheights.edu,www.sienaheights.edu/net_price_calculator/npcalc.htm,41.905952,-84.015144,0.742394822,22,1025,2254,1713,0.6735,0.1238,0.0426,0.0115,0.0049,0.0022,0.0226,0.0297,0.0892,0.5682,0.1085,0.0098,0.0031,0.0356,0.0006,0.0485,0.8581,0.0619,0.0064,0.0012,0.0234,33484,0,33484,22740,22740,NULL,14904,0.2462,0.4308,0.5692,24.62
Drury University,Springfield,MO,65802-3791,www.drury.edu,https://drury.studentaidcalculator.com/survey.aspx,37.219757,-93.285773,0.744122966,26,1185,3790,4053,0.8222,0.038,0.0507,0.0113,0.0098,0.0018,0.0208,0.0454,0,0.9012,0.0347,0.0145,0.0059,0.0232,0.034,0,0.906,0.0279,0.0121,0.0047,0.0153,33480,0,33480,23885,23885,NULL,14500,0.4463,0.3963,0.6037,44.63
Bethany Lutheran College,Mankato,MN,56001,www.blc.edu,www.blc.edu/financial-aid,44.166485,-93.990744,0.776805252,23,1070,503,440,0.8708,0.0278,0.0318,0.004,0.006,0.002,0.0239,0.008,0.0258,0.8475,0.0337,0.0305,0.0064,0.0112,0.0023,0.0545,0.9045,0.0114,0.0091,0.0045,0.0136,33417,0,33417,24450,24450,NULL,16250,0.3978,0.4811,0.5189,39.78
Oklahoma Wesleyan University,Bartlesville,OK,74006-6299,www.okwu.edu,www.okwu.edu/net-price-calculator/npcalc.htm,36.717752,-95.954124,0.626981059,22,999,1153,828,0.6574,0.0676,0.0763,0.0043,0.0711,0.0026,0.0442,0.0581,0.0182,0.7078,0.0964,0.0124,0.0964,0.0311,0.0338,0,0.82,0.0423,0.0097,0.0688,0.0254,33336,0,33336,23180,23180,NULL,16666,0.2697,0.3712,0.6288,26.97
Pennsylvania State University-Main Campus,University Park,PA,16802-1503,www.psu.edu/,tuition.psu.edu/CostEstimate.aspx,40.800732,-77.861644,0.626517667,27,1089,39958,34406,0.7053,0.0402,0.055,0.0598,0.0008,0.0008,0.0249,0.0983,0.015,0,0,0,0,0,0.0176,0,0.8614,0.0395,0.0498,0.0012,0.0305,33326,0,33326,17502,30452,NULL,20950,0.6556,0.5359,0.4641,65.56
MidAmerica Nazarene University,Olathe,KS,66062-1899,www.mnu.edu,https://www.mnu.edu/resources/financial-aid/undergraduate/net-price-calculator.html,38.872608,-94.782586,0.689940828,22,1010,1322,1302,0.6104,0.1195,0.0666,0.0136,0.0083,0.0076,0.0129,0.0015,0.1596,0.7974,0.1047,0.0128,0.0045,0.0361,0.0046,0.023,0.8594,0.0783,0.0084,0.0061,0.02,33252,0,33252,24250,24250,NULL,14485,0.3317,0.4138,0.5862,33.17
Grace College and Theological Seminary,Winona Lake,IN,46590-1274,www.grace.edu,https://grace.collegecosts.com/Estimator/Agreement,41.226473,-85.813931,0.801240402,24,1110,1478,1175,0.7537,0.0541,0.0359,0.0081,0.0034,0.0034,0.0176,0.0074,0.1164,0.8389,0.1149,0.0087,0.0058,0.0246,0.0128,0,0.9285,0.0451,0.0034,0.0017,0.0085,33215,0,33215,24670,24670,NULL,17750,0.6159,0.4641,0.5359,61.59
Oklahoma Baptist University,Shawnee,OK,74804,www.okbu.edu,www.okbu.edu/financial-aid/net-price-calculator,35.359949,-96.934334,0.604779412,26,1171,1824,1993,0.7094,0.0625,0.0236,0.0088,0.0548,0.0027,0.0872,0.0296,0.0214,0.7326,0.0579,0.0117,0.0714,0.0374,0.0105,0.007,0.866,0.0311,0.0191,0.0512,0.0151,33213,0,33213,22800,22800,NULL,12375,0.413,0.4035,0.5965,41.3
Alderson Broaddus University,Philippi,WV,26416-2035,www.ab.edu/,ab.edu/financial-aid/consumer-information/,39.158067,-80.047728,0.425773196,22,990,1024,693,0.7354,0.1611,0.04,0.0127,0.0039,0.001,0.0098,0.0342,0.002,0,0,0,0,0,0.0087,0.0115,0.8932,0.039,0.0317,0.0072,0.0087,33206,0,33206,22740,22740,NULL,9500,0.2994,0.5186,0.4814,29.94
D'Youville College,Buffalo,NY,14201-1084,www.dyc.edu,https://npc.collegeboard.org/student/app/dyc,42.902263,-78.890369,0.687933426,23,1035,1796,976,0.7433,0.078,0.0473,0.0278,0.0061,0.0006,0.02,0.0568,0.02,0.6536,0.1141,0.0164,0.0111,0.0374,0.1496,0.0184,0.6639,0.1025,0.0225,0.0082,0.0348,33178,0,33178,23562,23562,NULL,20000,0.2315,0.2656,0.7344,23.15
Texas Wesleyan University,Fort Worth,TX,76105-1536,www.txwes.edu,txwes.edu/admissions/what-will-it-cost/net-price-calculator/,32.733314,-97.279631,0.380592992,21,984,1676,2015,0.3085,0.1426,0.2309,0.0149,0.0054,0.0012,0.0286,0.2518,0.0161,0.304,0.1707,0.0184,0.01,0.1919,0.0422,0.0094,0.5856,0.1643,0.0283,0.0144,0.1558,33163,0,33163,23144,23144,NULL,17875,0.209,0.5066,0.4934,20.9
Olivet College,Olivet,MI,49076,www.olivetcollege.edu,www.olivetcollege.edu/admissions/tuition-financial-aid/net-price-calculator,42.440908,-84.922864,0.614314115,21,917,945,977,0.7735,0.1048,0.0635,0.0074,0.0042,0,0.0317,0.0116,0.0032,0.768,0.1215,0.0037,0.0082,0.0338,0.0655,0.0235,0.6407,0.1914,0.045,0.0143,0.0194,33155,0,33155,23800,23800,NULL,18750,0.2695,0.6095,0.3905,26.95
University of the Cumberlands,Williamsburg,KY,40769,www.ucumberlands.edu,https://ucumberlands.studentaidcalculator.com/survey.aspx,36.736489,-84.162375,0.662790698,23,1038,1844,1554,0.7706,0.0738,0.0201,0.0016,0.0038,0.0011,0.0103,0.0575,0.0613,0.8285,0.094,0.0117,0.0021,0.0343,0.0142,0.0013,0.9427,0.027,0.0019,0.0013,0.0116,33107,0,33107,20000,20000,NULL,8407,0.251,0.4664,0.5336,25.1
University of California-Santa Cruz,Santa Cruz,CA,95064-1011,www.ucsc.edu/,www2.ucsc.edu/finaidcalc/,36.997258,-122.067993,0.557247035,26,1149,16277,11075,0.3465,0.0196,0.3155,0.2035,0.0015,0.0017,0.074,0.0216,0.016,0.4833,0.0271,0.2188,0.0093,0.1811,0.0104,0.1381,0.5443,0.0209,0.1493,0.0098,0.1271,33036,0,33036,13397,36275,NULL,16500,0.5505,0.4722,0.5278,55.05
University of California-Berkeley,Berkeley,CA,94720,www.berkeley.edu,calculator.berkeley.edu/,37.871969,-122.260423,0.160201675,32,1382,27126,22678,0.2758,0.0209,0.1384,0.3509,0.0016,0.0027,0.0471,0.1373,0.0254,0.3049,0.0362,0.4038,0.0051,0.1194,0.0371,0.1111,0.3045,0.0432,0.4017,0.0059,0.0965,33020,0,33020,12972,35850,NULL,13597,0.7166,0.4788,0.5212,71.66
Central Methodist University-College of Liberal Arts and Sciences,Fayette,MO,65248-1198,www.centralmethodist.edu/,www.centralmethodist.edu/finaid/calculator/npcalc.htm,39.150534,-92.685276,0.605348989,23,1050,1175,1172,0.8034,0.0783,0.0264,0.0034,0.006,0.0009,0.0281,0.0255,0.0281,0.8082,0.0744,0.0049,0.0068,0.0215,0.0051,0.064,0.8217,0.0853,0.0043,0.0094,0.0102,32970,0,32970,21830,21830,NULL,12413,0.3667,0.4834,0.5166,36.67
Howard Payne University,Brownwood,TX,76801-2794,www.hputx.edu,npc.hputx.edu/,31.716345,-98.984956,0.821192053,21,976,1037,1480,0.6297,0.0839,0.2189,0.0039,0.0029,0.001,0.0309,0,0.0289,0.6407,0.0681,0.0053,0.0071,0.1619,0.0014,0.048,0.7541,0.0723,0.023,0.0061,0.0953,32965,0,32965,24600,24600,NULL,11450,0.352,0.5072,0.4928,35.2
Holy Family University,Philadelphia,PA,19114-2009,www.holyfamily.edu,www.holyfamily.edu/about-holy-family-u/resources/business-office/tuition-fees/net-price-calculator,40.060414,-74.990365,0.732600733,20,925,1797,1794,0.6333,0.0774,0.0684,0.0401,0.0006,0.0006,0,0.0033,0.1764,0.5644,0.051,0.037,0.0048,0.0356,0,0.0061,0.9064,0.0312,0.0301,0.0022,0.024,32954,0,32954,28456,28456,NULL,22250,0.3728,0.2593,0.7407,37.28
Keystone College,La Plume,PA,18440-0200,www.keystone.edu,www.keystone.edu/tuition_aid/tuitioncalculatorfreshmanstudents.dot,41.558969,-75.777456,0.920489297,20,921,1431,1220,0.7582,0.0601,0.0657,0.0077,0.0028,0.0021,0.0126,0.0049,0.086,0,0,0,0,0,0.0148,0.273,0.6525,0.0361,0.0041,0.0041,0.0156,32907,0,32907,21900,21900,NULL,18191,0.2353,0.4116,0.5884,23.53
Fontbonne University,Saint Louis,MO,63105-3098,www.fontbonne.edu,calculator.fontbonne.edu/status,38.642697,-90.315712,0.906122449,23,1052,1121,1377,0.6878,0.1597,0.0294,0.0134,0.0027,0.0009,0.0152,0.0776,0.0134,0.6151,0.3301,0.0086,0.0027,0.0172,0.0189,0.0022,0.7756,0.1816,0.0087,0.0051,0.008,32882,0,32882,22770,22770,NULL,22875,0.2353,0.3176,0.6824,23.53
Tuskegee University,Tuskegee,AL,36088-1920,www.tuskegee.edu,www.tuskegee.edu,32.431021,-85.710315,0.492198009,22,978,2588,2467,0.0035,0.7736,0.0035,0.0015,0.0004,0,0,0.0027,0.2148,0.0016,0.8756,0.0004,0.0008,0.002,0.0134,0.0158,0,0.9704,0,0,0.0004,32853,0,32853,19570,19570,NULL,21500,0.2133,0.4258,0.5742,21.33
Coker College,Hartsville,SC,29550,www.coker.edu,www.coker.edu/net-price-calculator.html,34.37709,-80.067713,0.508973439,21,992,1138,1002,0.5185,0.3568,0.0264,0.0026,0.0062,0,0,0.0123,0.0773,0.5417,0.4056,0.0026,0.0105,0.0149,0.013,0,0.6218,0.3493,0.002,0.003,0.011,32818,0,32818,25536,25536,NULL,18000,0.375,0.384,0.616,37.5
Reinhardt University,Waleska,GA,30183-2981,www.reinhardt.edu,www.reinhardt.edu/Future-Students/Cost/calculator-examples.asp,34.318874,-84.554657,0.900170648,20,975,1317,1108,0.691,0.1815,0.06,0.0061,0.0038,0,0,0.0015,0.0562,0.8041,0.0858,0.0127,0.0019,0.0448,0.037,0.0659,0.8403,0.0343,0.009,0.0054,0.0081,32794,0,32794,19196,19196,NULL,9500,0.2449,0.5247,0.4753,24.49
Mount Saint Joseph University,Cincinnati,OH,45233-1670,www.msj.edu,https://msj.aidcalculator.com/,39.094519,-84.640143,0.876237624,22,1005,1463,2061,0.8004,0.1066,0.0185,0.0055,0.0021,0.0007,0.0219,0.0034,0.041,0,0,0,0,0,0.0349,0.0068,0.8651,0.0699,0.017,0.001,0.0053,32785,0,32785,26850,26850,NULL,21365.5,0.38,0.4135,0.5865,38
University of Pikeville,Pikeville,KY,41501,www.upike.edu,www.upike.edu/NetPriceCalculator/npcalc.htm,37.478835,-82.520265,1,21,966,1329,917,0.8247,0.1196,0.0173,0.0045,0.0038,0,0,0.0301,0,0,0,0,0,0,0,0,0.916,0.0654,0.0033,0,0.0153,32707,0,32707,18290,18290,NULL,10500,0.2531,0.5004,0.4996,25.31
Hardin-Simmons University,Abilene,TX,79698-0001,www.hsutx.edu,www.hsutx.edu/offices/financial-aid/financial-calculators/,32.476786,-99.733815,0.567994505,23,1037,1576,1910,0.7126,0.0742,0.1472,0.0076,0.0019,0.0006,0.0298,0.0159,0.0102,0,0,0,0,0,0.0016,0.0246,0.8534,0.0393,0.0068,0.0052,0.0691,32694,0,32694,22350,22350,NULL,17846,0.3631,0.4829,0.5171,36.31
Dakota Wesleyan University,Mitchell,SD,57301-4398,www.dwu.edu,www.dwu.edu/financialaid/netpricecalculator/,43.695995,-98.030566,0.734254992,23,1044,765,676,0.9007,0.017,0.0288,0.0026,0.0118,0,0.0209,0.0157,0.0026,0.8646,0.0221,0.0138,0.0193,0.0359,0.0133,0.003,0.8817,0.0399,0.0074,0.0355,0.0192,32693,0,32693,23650,23650,NULL,19250,0.3487,0.4261,0.5739,34.87
